,STATUS,cOPN,cCON,cEXT,cAGR,cNEU
0,likes the sound of thunder.,1,0,0,0,1
1,is so sleepy it's not even funny that's she can't get to sleep.,1,0,0,0,1
2,"is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3",1,0,0,0,1
3,likes how the day sounds in this new song.,1,0,0,0,1
4,is home. <3,1,0,0,0,1
5,www.thejokerblogs.com,1,0,0,0,1
6,"saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party.",1,0,0,0,1
7,is in Kentucky. 421 miles into her 1100 mile journey home.,1,0,0,0,1
8,was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology.,1,0,0,0,1
9,is celebrating her new haircut by listening to swinger music and generally looking like a doofus.,1,0,0,0,1
10,has a crush on the Green Lantern.,1,0,0,0,1
11,has magic on the brain.,1,0,0,0,1
12,"saw Transformers, Up, and Year One this week. Good movie overload. :D",1,0,0,0,1
13,Who wants to meet up on schedule pick-up day at Oviedo?,1,0,0,0,1
14,"desires the thrill of inspiration. Also, money.",1,0,0,0,1
15,is going to bed at 9:30! Yeah!,1,0,0,0,1
16,"is reading, admiring her permit, and occasionally glancing at her ner McDonald's uniform.",1,0,0,0,1
17,thinks intangibility should be an option in reality settings.,1,0,0,0,1
18,"is tired. *PROPNAME*, let me go to sleep pl0x.",1,0,0,0,1
19,is discovering the many flavors of insomnia.,1,0,0,0,1
20,"is watching cousin play computer game on televison box thing. Also, sleepy.",1,0,0,0,1
21,Why is it I'm only getting the urge to draw when I have stuff to do for school? D;,1,0,0,0,1
22,Who'da thought a single text message could be enough to change my mind?,1,0,0,0,1
23,wishes to develop a super power that prevents her from needing to sleep.,1,0,0,0,1
24,"TELL ME WHAT TO DRAW, PLOX.",1,0,0,0,1
25,"found a bunny, bunny died, buried bunny, now is drawing.",1,0,0,0,1
26,<3,1,0,0,0,1
27,is just about insane by now.,1,0,0,0,1
28,wants to sleep eight hours tonight. And so she shall.,1,0,0,0,1
29,"really hates hormones and emotions right now. Well, has hated them a lot recently. Goodness.",1,0,0,0,1
30,has a watch that matches her glasses. She wishes she hadn't spazzed with glee when she saw it in the store.,1,0,0,0,1
31,"loved 9! Allegory, symbolism, talking ragdolls, satire, and explosions! Yes!",1,0,0,0,1
32,can't sit on her futon because she knows as soon as she does she'll lie down and pass out. Uncomfortable rolly desk chair it is. :(,1,0,0,0,1
33,"should spend less time writing chapters for the story she'll never finish, and try reading more books. Preferably, during the daytime, and not at 3:00 AM.",1,0,0,0,1
34,is watching kid's cartoons and wishing she weren't so old.,1,0,0,0,1
35,"has work tomorrow, and hopes they teach her how to use the cash register. :D",1,0,0,0,1
36,"is grateful she did most of her work during her wait for a ride home this afternoon and then during the Open House. Sleeeep, she beckons.",1,0,0,0,1
37,has a really confusing internal dilemma. She also wonders if anyone can guess what it is.,1,0,0,0,1
38,thinks she needs to stop leaving so many pictures half-done before getting new ideas.,1,0,0,0,1
39,"has grown weary of drawing her paranoid, soldier//housewife Jynx character in comic form, and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition.",1,0,0,0,1
40,is seeing 9 tonight... maybe?,1,0,0,0,1
41,"is going to work on comics, then crash into her futon with all the love unconsciousness deserves.",1,0,0,0,1
42,WEEKEND. I LOVE YOU.,1,0,0,0,1
43,"is listening to Relient K and thinking about plants, lawyers, and internships.",1,0,0,0,1
44,"is drawing instead of homeworking. :| This is fun, but not good.",1,0,0,0,1
45,will sleep like a champion tonight.,1,0,0,0,1
46,"dishes, webcomics, laziness, internal lack of disruption. Alright.",1,0,0,0,1
47,"wishes she weren't ticklish sometimes. Right now, though, is not one of those times. :)",1,0,0,0,1
48,has a magical ceiling.,1,0,0,0,1
49,"went to bed early, slept in, and still feels like she hasn'tgotten a proper night's sleep.",1,0,0,0,1
